identificacion,nombre,grado,grupo,fechaNacimiento,direccion,telefono,email,padre_nombre,padre_telefono,padre_email,padre_ocupacion,madre_nombre,madre_telefono,madre_email,madre_ocupacion,tutor_nombre,tutor_telefono,tutor_email,tutor_parentesco
T260016,Estudiante Prueba 16,9,A,2012-04-16,Calle Prueba #16,3100000016,estudiante16@demo.colegio.local,Padre Prueba 16,3110000016,padre16@familia.local,Empleado,Madre Prueba 16,3120000016,madre16@familia.local,Hogar,Tutor Prueba 16,3200000016,tutor16@familia.local,Tio
T260017,Estudiante Prueba 17,10,B,2011-05-17,Calle Prueba #17,3100000017,estudiante17@demo.colegio.local,Padre Prueba 17,3110000017,padre17@familia.local,Empleado,Madre Prueba 17,3120000017,madre17@familia.local,Hogar,,,,
T260018,Estudiante Prueba 18,11,C,2010-06-18,Calle Prueba #18,3100000018,estudiante18@demo.colegio.local,Padre Prueba 18,3110000018,padre18@familia.local,Empleado,Madre Prueba 18,3120000018,madre18@familia.local,Hogar,,,,
T260019,Estudiante Prueba 19,6,A,2015-07-19,Calle Prueba #19,3100000019,estudiante19@demo.colegio.local,Padre Prueba 19,3110000019,padre19@familia.local,Empleado,Madre Prueba 19,3120000019,madre19@familia.local,Hogar,,,,
T260020,Estudiante Prueba 20,7,B,2014-08-20,Calle Prueba #20,3100000020,estudiante20@demo.colegio.local,Padre Prueba 20,3110000020,padre20@familia.local,Empleado,Madre Prueba 20,3120000020,madre20@familia.local,Hogar,Tutor Prueba 20,3200000020,tutor20@familia.local,Tio
T260021,Estudiante Prueba 21,8,C,2013-09-21,Calle Prueba #21,3100000021,estudiante21@demo.colegio.local,Padre Prueba 21,3110000021,padre21@familia.local,Empleado,Madre Prueba 21,3120000021,madre21@familia.local,Hogar,,,,
T260022,Estudiante Prueba 22,9,A,2012-10-22,Calle Prueba #22,3100000022,estudiante22@demo.colegio.local,Padre Prueba 22,3110000022,padre22@familia.local,Empleado,Madre Prueba 22,3120000022,madre22@familia.local,Hogar,,,,
T260023,Estudiante Prueba 23,10,B,2011-11-23,Calle Prueba #23,3100000023,estudiante23@demo.colegio.local,Padre Prueba 23,3110000023,padre23@familia.local,Empleado,Madre Prueba 23,3120000023,madre23@familia.local,Hogar,,,,
T260024,Estudiante Prueba 24,11,C,2010-12-24,Calle Prueba #24,3100000024,estudiante24@demo.colegio.local,Padre Prueba 24,3110000024,padre24@familia.local,Empleado,Madre Prueba 24,3120000024,madre24@familia.local,Hogar,Tutor Prueba 24,3200000024,tutor24@familia.local,Tio
T260025,Estudiante Prueba 25,6,A,2015-01-25,Calle Prueba #25,3100000025,estudiante25@demo.colegio.local,Padre Prueba 25,3110000025,padre25@familia.local,Empleado,Madre Prueba 25,3120000025,madre25@familia.local,Hogar,,,,
T260026,Estudiante Prueba 26,7,B,2014-02-26,Calle Prueba #26,3100000026,estudiante26@demo.colegio.local,Padre Prueba 26,3110000026,padre26@familia.local,Empleado,Madre Prueba 26,3120000026,madre26@familia.local,Hogar,,,,
T260027,Estudiante Prueba 27,8,C,2013-03-27,Calle Prueba #27,3100000027,estudiante27@demo.colegio.local,Padre Prueba 27,3110000027,padre27@familia.local,Empleado,Madre Prueba 27,3120000027,madre27@familia.local,Hogar,,,,
T260028,Estudiante Prueba 28,9,A,2012-04-28,Calle Prueba #28,3100000028,estudiante28@demo.colegio.local,Padre Prueba 28,3110000028,padre28@familia.local,Empleado,Madre Prueba 28,3120000028,madre28@familia.local,Hogar,Tutor Prueba 28,3200000028,tutor28@familia.local,Tio
T260029,Estudiante Prueba 29,10,B,2011-05-01,Calle Prueba #29,3100000029,estudiante29@demo.colegio.local,Padre Prueba 29,3110000029,padre29@familia.local,Empleado,Madre Prueba 29,3120000029,madre29@familia.local,Hogar,,,,
T260030,Estudiante Prueba 30,11,C,2010-06-02,Calle Prueba #30,3100000030,estudiante30@demo.colegio.local,Padre Prueba 30,3110000030,padre30@familia.local,Empleado,Madre Prueba 30,3120000030,madre30@familia.local,Hogar,,,,
T260031,Estudiante Prueba 31,6,A,2015-07-03,Calle Prueba #31,3100000031,estudiante31@demo.colegio.local,Padre Prueba 31,3110000031,padre31@familia.local,Empleado,Madre Prueba 31,3120000031,madre31@familia.local,Hogar,,,,
T260032,Estudiante Prueba 32,7,B,2014-08-04,Calle Prueba #32,3100000032,estudiante32@demo.colegio.local,Padre Prueba 32,3110000032,padre32@familia.local,Empleado,Madre Prueba 32,3120000032,madre32@familia.local,Hogar,Tutor Prueba 32,3200000032,tutor32@familia.local,Tio
T260033,Estudiante Prueba 33,8,C,2013-09-05,Calle Prueba #33,3100000033,estudiante33@demo.colegio.local,Padre Prueba 33,3110000033,padre33@familia.local,Empleado,Madre Prueba 33,3120000033,madre33@familia.local,Hogar,,,,
T260034,Estudiante Prueba 34,9,A,2012-10-06,Calle Prueba #34,3100000034,estudiante34@demo.colegio.local,Padre Prueba 34,3110000034,padre34@familia.local,Empleado,Madre Prueba 34,3120000034,madre34@familia.local,Hogar,,,,
T260035,Estudiante Prueba 35,10,B,2011-11-07,Calle Prueba #35,3100000035,estudiante35@demo.colegio.local,Padre Prueba 35,3110000035,padre35@familia.local,Empleado,Madre Prueba 35,3120000035,madre35@familia.local,Hogar,,,,
T260036,Estudiante Prueba 36,11,C,2010-12-08,Calle Prueba #36,3100000036,estudiante36@demo.colegio.local,Padre Prueba 36,3110000036,padre36@familia.local,Empleado,Madre Prueba 36,3120000036,madre36@familia.local,Hogar,Tutor Prueba 36,3200000036,tutor36@familia.local,Tio
